transaction_id,customer_id,transaction_date,payment_category,payment_mode,amount_vnd,repayment_status,promo_applied,is_suspicious_flag,ym,has_suspicious
TRX00000015,ZLP000003,2024-11-24 18:12:43,Thời trang,Bank Transfer,777000.0,OnTime,No Promo,0,2024-11,0
TRX00000016,ZLP000005,2024-01-07 08:53:14,Thời trang,Manual,2355000.0,OnTime,No Promo,0,2024-01,0
TRX00000017,ZLP000005,2024-04-03 22:06:48,Điện tử,ZaloPay Balance,1117000.0,Late,No Promo,0,2024-04,0
TRX00000018,ZLP000005,2024-04-24 07:25:38,Điện tử,ZaloPay Balance,2982000.0,OnTime,No Promo,0,2024-04,0
TRX00000019,ZLP000005,2024-07-01 09:59:19,Điện tử,ZaloPay Balance,1432000.0,OnTime,No Promo,0,2024-07,0
TRX00000020,ZLP000005,2024-09-13 21:09:20,Điện tử,Bank Transfer,2710000.0,OnTime,No Promo,0,2024-09,0
TRX00000021,ZLP000005,2024-11-03 21:16:24,Điện tử,ZaloPay Balance,1996000.0,OnTime,FreeFee,0,2024-11,0
TRX00000022,ZLP000006,2024-01-07 15:27:13,Du lịch & Vận chuyển,Auto-debit,294000.0,OnTime,LimitUpgrade,0,2024-01,0
TRX00000023,ZLP000006,2024-06-07 15:50:34,Du lịch & Vận chuyển,ZaloPay Balance,769000.0,OnTime,No Promo,0,2024-06,0
TRX00000024,ZLP000006,2024-07-04 09:30:47,Du lịch & Vận chuyển,Bank Transfer,593000.0,OnTime,No Promo,0,2024-07,0
TRX00000025,ZLP000006,2024-08-16 08:44:17,Du lịch & Vận chuyển,ZaloPay Balance,652000.0,OnTime,No Promo,0,2024-08,0
TRX00000026,ZLP000006,2024-08-17 17:19:26,Du lịch & Vận chuyển,ZaloPay Balance,1435000.0,OnTime,No Promo,0,2024-08,0
TRX00000027,ZLP000006,2024-10-25 11:36:36,Du lịch & Vận chuyển,ZaloPay Balance,537000.0,Partial,No Promo,0,2024-10,0
TRX00000028,ZLP000006,2024-12-29 22:27:54,Du lịch & Vận chuyển,ZaloPay Balance,728000.0,OnTime,No Promo,0,2024-12,0
TRX00000029,ZLP000007,2024-01-02 10:45:38,Chăm sóc sức khỏe,Auto-debit,184000.0,OnTime,No Promo,0,2024-01,0
TRX00000030,ZLP000007,2024-03-01 23:09:45,Chăm sóc sức khỏe,Auto-debit,435000.0,OnTime,No Promo,0,2024-03,0
TRX00000031,ZLP000007,2024-04-12 20:16:38,Chăm sóc sức khỏe,Auto-debit,429000.0,OnTime,LimitUpgrade,0,2024-04,0
TRX00000032,ZLP000007,2024-05-21 18:42:02,Chăm sóc sức khỏe,ZaloPay Balance,343000.0,Late,No Promo,0,2024-05,0
TRX00000033,ZLP000007,2024-06-24 08:31:24,Chăm sóc sức khỏe,Bank Transfer,565000.0,OnTime,No Promo,0,2024-06,0
TRX00000034,ZLP000007,2024-07-26 08:08:04,Chăm sóc sức khỏe,Bank Transfer,282000.0,OnTime,FreeFee,0,2024-07,0
TRX00000035,ZLP000007,2024-08-22 18:12:07,Chăm sóc sức khỏe,Bank Transfer,575000.0,OnTime,No Promo,0,2024-08,0
TRX00000036,ZLP000007,2024-10-06 10:50:46,Chăm sóc sức khỏe,Bank Transfer,675000.0,OnTime,No Promo,0,2024-10,0
TRX00000037,ZLP000007,2024-11-13 22:11:27,Chăm sóc sức khỏe,ZaloPay Balance,492000.0,OnTime,No Promo,0,2024-11,0
TRX00000038,ZLP000007,2024-12-19 13:43:15,Chăm sóc sức khỏe,ZaloPay Balance,394000.0,OnTime,FreeFee,0,2024-12,0
TRX00000039,ZLP000009,2024-01-02 10:22:56,Thực phẩm & Ăn uống,Bank Transfer,146000.0,OnTime,No Promo,0,2024-01,0
TRX00000040,ZLP000009,2024-01-10 20:32:09,Thực phẩm & Ăn uống,ZaloPay Balance,185000.0,OnTime,No Promo,0,2024-01,0
TRX00000041,ZLP000009,2024-01-26 22:38:59,Thực phẩm & Ăn uống,ZaloPay Balance,10000.0,OnTime,No Promo,0,2024-01,0
TRX00000042,ZLP000009,2024-02-26 21:10:34,Thực phẩm & Ăn uống,Bank Transfer,194000.0,OnTime,No Promo,0,2024-02,0
TRX00000043,ZLP000009,2024-03-08 09:36:52,Thực phẩm & Ăn uống,ZaloPay Balance,13000.0,OnTime,No Promo,0,2024-03,0
TRX00000044,ZLP000009,2024-04-04 12:11:37,Thực phẩm & Ăn uống,Bank Transfer,217000.0,OnTime,LimitUpgrade,0,2024-04,0
TRX00000045,ZLP000009,2024-05-10 14:38:02,Thực phẩm & Ăn uống,Manual,10000.0,OnTime,No Promo,0,2024-05,0
TRX00000046,ZLP000009,2024-06-01 23:10:20,Thực phẩm & Ăn uống,Auto-debit,291000.0,OnTime,LimitUpgrade,0,2024-06,0
TRX00000047,ZLP000009,2024-06-17 18:26:58,Thực phẩm & Ăn uống,Auto-debit,171000.0,OnTime,FreeFee,0,2024-06,0
TRX00000048,ZLP000009,2024-07-06 15:18:54,Thực phẩm & Ăn uống,Manual,353000.0,OnTime,No Promo,0,2024-07,0
TRX00000049,ZLP000009,2024-07-26 10:00:46,Thực phẩm & Ăn uống,ZaloPay Balance,283000.0,OnTime,No Promo,0,2024-07,0
TRX00000050,ZLP000009,2024-08-04 17:19:00,Du lịch & Vận chuyển,ZaloPay Balance,136000.0,OnTime,No Promo,0,2024-08,0
TRX00000051,ZLP000009,2024-08-27 20:11:15,Thực phẩm & Ăn uống,ZaloPay Balance,358000.0,OnTime,No Promo,0,2024-08,0
TRX00000052,ZLP000009,2024-09-12 22:35:23,Chăm sóc sức khỏe,Bank Transfer,352000.0,Late,No Promo,0,2024-09,0
TRX00000053,ZLP000009,2024-09-23 18:03:37,Thực phẩm & Ăn uống,Auto-debit,27000.0,OnTime,No Promo,0,2024-09,0
TRX00000054,ZLP000009,2024-10-14 12:35:58,Thực phẩm & Ăn uống,Bank Transfer,260000.0,OnTime,FreeFee,0,2024-10,0
TRX00000055,ZLP000009,2024-10-27 15:14:09,Thực phẩm & Ăn uống,Auto-debit,10000.0,OnTime,No Promo,0,2024-10,0
TRX00000056,ZLP000009,2024-11-17 13:03:09,Thời trang,ZaloPay Balance,179000.0,Partial,No Promo,0,2024-11,0
TRX00000057,ZLP000009,2024-12-18 07:56:03,Thực phẩm & Ăn uống,Bank Transfer,277000.0,Partial,No Promo,0,2024-12,0
TRX00000058,ZLP000010,2024-02-02 12:59:14,Viễn thông,Manual,324000.0,OnTime,No Promo,0,2024-02,0
TRX00000059,ZLP000010,2024-03-10 17:49:26,Viễn thông,ZaloPay Balance,206000.0,OnTime,No Promo,0,2024-03,0
TRX00000060,ZLP000011,2024-11-29 20:27:49,Viễn thông,ZaloPay Balance,100000.0,OnTime,No Promo,0,2024-11,0
TRX00000061,ZLP000011,2024-12-20 19:47:33,Viễn thông,Auto-debit,249000.0,OnTime,No Promo,0,2024-12,0
TRX00000062,ZLP000012,2024-01-05 13:26:35,Chăm sóc sức khỏe,Auto-debit,186000.0,OnTime,No Promo,0,2024-01,0
TRX00000063,ZLP000012,2024-02-16 21:43:50,Chăm sóc sức khỏe,Bank Transfer,366000.0,Partial,Cashback,0,2024-02,0
TRX00000064,ZLP000012,2024-03-13 14:57:12,Chăm sóc sức khỏe,ZaloPay Balance,381000.0,OnTime,No Promo,0,2024-03,0
TRX00000065,ZLP000012,2024-05-07 20:15:37,Chăm sóc sức khỏe,Manual,214000.0,OnTime,Cashback,0,2024-05,0
TRX00000066,ZLP000012,2024-06-01 16:03:49,Thực phẩm & Ăn uống,ZaloPay Balance,429000.0,OnTime,No Promo,0,2024-06,0
TRX00000067,ZLP000012,2024-06-18 12:15:54,Chăm sóc sức khỏe,Auto-debit,316000.0,OnTime,No Promo,0,2024-06,0
TRX00000068,ZLP000012,2024-07-26 13:06:29,Du lịch & Vận chuyển,Manual,373000.0,OnTime,No Promo,0,2024-07,0
TRX00000069,ZLP000012,2024-08-25 23:27:09,Thực phẩm & Ăn uống,ZaloPay Balance,465000.0,OnTime,No Promo,0,2024-08,0
TRX00000070,ZLP000012,2024-10-04 15:22:30,Chăm sóc sức khỏe,Auto-debit,500000.0,OnTime,No Promo,0,2024-10,0
TRX00000071,ZLP000012,2024-11-05 17:17:37,Chăm sóc sức khỏe,ZaloPay Balance,526000.0,OnTime,Cashback,0,2024-11,0
TRX00000072,ZLP000012,2024-11-22 08:34:32,Chăm sóc sức khỏe,ZaloPay Balance,401000.0,OnTime,No Promo,0,2024-11,0
TRX00000073,ZLP000013,2024-01-04 13:03:28,Chăm sóc sức khỏe,Manual,344000.0,OnTime,LimitUpgrade,0,2024-01,0
TRX00000074,ZLP000013,2024-02-04 11:41:34,Chăm sóc sức khỏe,ZaloPay Balance,363000.0,Partial,No Promo,0,2024-02,0
TRX00000075,ZLP000013,2024-03-07 12:39:31,Chăm sóc sức khỏe,Manual,476000.0,OnTime,No Promo,0,2024-03,0
TRX00000076,ZLP000015,2024-01-04 17:58:49,Điện & Nước,Auto-debit,358000.0,OnTime,Cashback,0,2024-01,0
TRX00000077,ZLP000015,2024-01-31 10:28:07,Điện & Nước,Bank Transfer,333000.0,OnTime,No Promo,0,2024-01,0
TRX00000078,ZLP000015,2024-02-25 16:49:50,Điện & Nước,Bank Transfer,228000.0,OnTime,No Promo,0,2024-02,0
TRX00000079,ZLP000015,2024-03-25 11:32:56,Điện & Nước,ZaloPay Balance,145000.0,OnTime,No Promo,0,2024-03,0
TRX00000080,ZLP000015,2024-04-23 09:30:05,Điện & Nước,ZaloPay Balance,163000.0,Late,No Promo,0,2024-04,0
TRX00000081,ZLP000015,2024-05-23 23:42:13,Điện & Nước,Manual,411000.0,OnTime,No Promo,0,2024-05,0
TRX00000082,ZLP000015,2024-06-25 08:59:18,Điện & Nước,ZaloPay Balance,163000.0,OnTime,No Promo,0,2024-06,0
TRX00000083,ZLP000015,2024-07-20 12:00:29,Điện & Nước,Bank Transfer,247000.0,Late,No Promo,0,2024-07,0
TRX00000084,ZLP000015,2024-08-22 22:50:32,Điện & Nước,Bank Transfer,171000.0,OnTime,No Promo,0,2024-08,0
TRX00000085,ZLP000015,2024-09-24 09:09:33,Điện & Nước,Auto-debit,268000.0,OnTime,No Promo,0,2024-09,0
TRX00000086,ZLP000015,2024-10-23 17:29:23,Điện & Nước,Auto-debit,340000.0,OnTime,No Promo,0,2024-10,0
TRX00000087,ZLP000015,2024-11-24 13:20:01,Điện & Nước,ZaloPay Balance,343000.0,OnTime,No Promo,0,2024-11,0
TRX00000088,ZLP000016,2024-01-04 10:22:10,Viễn thông,Manual,159000.0,OnTime,No Promo,0,2024-01,0
TRX00000089,ZLP000016,2024-01-29 11:33:12,Viễn thông,Bank Transfer,152000.0,OnTime,No Promo,0,2024-01,0
TRX00000090,ZLP000016,2024-03-01 13:32:20,Thực phẩm & Ăn uống,Bank Transfer,156000.0,OnTime,No Promo,0,2024-03,0
TRX00000091,ZLP000016,2024-04-03 15:00:53,Viễn thông,ZaloPay Balance,209000.0,OnTime,No Promo,0,2024-04,0
TRX00000092,ZLP000016,2024-05-06 21:11:32,Chăm sóc sức khỏe,Manual,229000.0,OnTime,No Promo,0,2024-05,0
TRX00000093,ZLP000016,2024-05-30 13:10:40,Điện & Nước,Auto-debit,146000.0,OnTime,FreeFee,0,2024-05,0
TRX00000094,ZLP000016,2024-06-24 20:28:40,Thực phẩm & Ăn uống,Bank Transfer,236000.0,OnTime,No Promo,0,2024-06,0
TRX00000095,ZLP000016,2024-07-30 15:19:45,Viễn thông,Auto-debit,109000.0,OnTime,FreeFee,0,2024-07,0
TRX00000096,ZLP000016,2024-08-25 17:01:40,Viễn thông,Manual,296000.0,Late,No Promo,0,2024-08,0
TRX00000097,ZLP000016,2024-09-23 12:28:07,Viễn thông,ZaloPay Balance,237000.0,Partial,No Promo,0,2024-09,0
TRX00000098,ZLP000016,2024-10-14 08:24:25,Thực phẩm & Ăn uống,ZaloPay Balance,146000.0,OnTime,FreeFee,0,2024-10,0
TRX00000099,ZLP000016,2024-11-07 20:51:46,Viễn thông,Bank Transfer,254000.0,Late,Cashback,0,2024-11,0
TRX00000100,ZLP000016,2024-11-29 18:28:22,Viễn thông,Auto-debit,241000.0,Partial,LimitUpgrade,0,2024-11,0
TRX00000101,ZLP000016,2024-12-28 21:24:36,Viễn thông,ZaloPay Balance,243000.0,OnTime,No Promo,0,2024-12,0
TRX00000102,ZLP000017,2024-06-04 22:27:48,Điện tử,Bank Transfer,3203550.000000003,OnTime,No Promo,0,2024-06,0
TRX00000103,ZLP000017,2024-08-02 17:26:19,Điện tử,Bank Transfer,1801000.0,OnTime,No Promo,0,2024-08,0
TRX00000104,ZLP000017,2024-09-20 21:30:44,Điện tử,Auto-debit,3203550.000000003,OnTime,No Promo,0,2024-09,0
TRX00000105,ZLP000017,2024-11-20 20:15:19,Điện tử,Bank Transfer,1992000.0,OnTime,No Promo,0,2024-11,0
TRX00000106,ZLP000018,2024-01-04 08:16:23,Viễn thông,Bank Transfer,160000.0,OnTime,No Promo,0,2024-01,0
TRX00000107,ZLP000018,2024-02-02 13:45:38,Viễn thông,ZaloPay Balance,91000.0,OnTime,No Promo,0,2024-02,0
TRX00000108,ZLP000018,2024-03-15 20:08:32,Viễn thông,Auto-debit,182000.0,OnTime,No Promo,0,2024-03,0
TRX00000109,ZLP000018,2024-04-12 16:47:44,Thực phẩm & Ăn uống,ZaloPay Balance,282000.0,Late,FreeFee,0,2024-04,0
TRX00000110,ZLP000018,2024-05-18 17:57:44,Viễn thông,ZaloPay Balance,246000.0,OnTime,LimitUpgrade,0,2024-05,0
TRX00000111,ZLP000018,2024-06-09 22:50:44,Viễn thông,Auto-debit,226000.0,OnTime,Cashback,0,2024-06,0
TRX00000112,ZLP000018,2024-06-28 09:20:46,Viễn thông,ZaloPay Balance,275000.0,OnTime,No Promo,0,2024-06,0
TRX00000113,ZLP000018,2024-08-03 13:44:57,Viễn thông,Auto-debit,209000.0,OnTime,No Promo,0,2024-08,0
TRX00000114,ZLP000018,2024-08-23 15:29:26,Viễn thông,ZaloPay Balance,59000.0,OnTime,No Promo,0,2024-08,0
TRX00000115,ZLP000018,2024-09-15 19:33:52,Điện tử,Manual,199000.0,OnTime,No Promo,0,2024-09,0
TRX00000116,ZLP000018,2024-10-11 10:58:46,Viễn thông,Auto-debit,110000.0,Late,No Promo,0,2024-10,0
TRX00000117,ZLP000018,2024-11-10 09:49:41,Viễn thông,Auto-debit,157000.0,OnTime,No Promo,0,2024-11,0
TRX00000118,ZLP000018,2024-12-07 12:44:53,Chăm sóc sức khỏe,ZaloPay Balance,64000.0,OnTime,No Promo,0,2024-12,0
TRX00000119,ZLP000018,2024-12-29 21:22:32,Thực phẩm & Ăn uống,ZaloPay Balance,280000.0,OnTime,No Promo,0,2024-12,0
TRX00000120,ZLP000019,2024-11-27 17:18:10,Thời trang,ZaloPay Balance,860000.0,OnTime,No Promo,0,2024-11,0
TRX00000121,ZLP000020,2024-01-21 11:31:01,Thời trang,ZaloPay Balance,559000.0,OnTime,No Promo,0,2024-01,0
TRX00000122,ZLP000020,2024-03-09 10:49:56,Thời trang,ZaloPay Balance,573000.0,OnTime,No Promo,0,2024-03,0
TRX00000123,ZLP000020,2024-05-01 21:49:44,Điện tử,ZaloPay Balance,702000.0,Late,No Promo,0,2024-05,0
TRX00000124,ZLP000020,2024-06-19 21:19:40,Thời trang,Bank Transfer,573000.0,Late,No Promo,0,2024-06,0
TRX00000125,ZLP000020,2024-07-23 13:57:13,Thời trang,Bank Transfer,980000.0,Late,No Promo,0,2024-07,0
TRX00000126,ZLP000020,2024-09-06 10:28:23,Thời trang,ZaloPay Balance,768000.0,OnTime,Cashback,0,2024-09,0
TRX00000127,ZLP000020,2024-10-24 08:09:21,Thời trang,Manual,29000.0,OnTime,No Promo,0,2024-10,0
TRX00000128,ZLP000020,2024-11-30 15:55:14,Thời trang,Bank Transfer,952000.0,OnTime,FreeFee,0,2024-11,0
TRX00000129,ZLP000021,2024-02-04 20:51:34,Viễn thông,ZaloPay Balance,139000.0,OnTime,No Promo,0,2024-02,0
TRX00000130,ZLP000021,2024-03-05 22:00:26,Viễn thông,Bank Transfer,133000.0,OnTime,No Promo,0,2024-03,0
TRX00000131,ZLP000021,2024-04-05 16:10:02,Viễn thông,ZaloPay Balance,328000.0,OnTime,No Promo,0,2024-04,0
TRX00000132,ZLP000021,2024-05-02 16:57:07,Viễn thông,Bank Transfer,88000.0,OnTime,No Promo,0,2024-05,0
TRX00000133,ZLP000021,2024-05-27 19:22:42,Viễn thông,Manual,152000.0,Late,No Promo,0,2024-05,0
TRX00000134,ZLP000021,2024-06-19 15:40:50,Viễn thông,ZaloPay Balance,291000.0,OnTime,No Promo,0,2024-06,0
TRX00000135,ZLP000021,2024-07-18 10:30:00,Viễn thông,Bank Transfer,316000.0,OnTime,Cashback,0,2024-07,0
TRX00000136,ZLP000021,2024-08-15 16:42:52,Viễn thông,Bank Transfer,218000.0,OnTime,No Promo,0,2024-08,0
TRX00000137,ZLP000021,2024-09-07 07:46:26,Viễn thông,Bank Transfer,269000.0,OnTime,No Promo,0,2024-09,0
TRX00000138,ZLP000021,2024-10-07 23:17:15,Viễn thông,Bank Transfer,219000.0,OnTime,No Promo,0,2024-10,0
TRX00000139,ZLP000021,2024-11-03 11:41:47,Viễn thông,Manual,85000.0,OnTime,No Promo,0,2024-11,0
TRX00000140,ZLP000021,2024-12-03 12:16:03,Viễn thông,ZaloPay Balance,213000.0,OnTime,No Promo,0,2024-12,0
TRX00000141,ZLP000022,2024-01-02 11:14:50,Du lịch & Vận chuyển,Bank Transfer,314000.0,OnTime,No Promo,0,2024-01,0
TRX00000142,ZLP000022,2024-02-25 14:18:02,Du lịch & Vận chuyển,Bank Transfer,1272000.0,OnTime,No Promo,0,2024-02,0
TRX00000143,ZLP000022,2024-05-14 09:46:52,Du lịch & Vận chuyển,ZaloPay Balance,1626000.0,Partial,No Promo,0,2024-05,0
TRX00000144,ZLP000022,2024-07-02 17:22:41,Du lịch & Vận chuyển,ZaloPay Balance,10000.0,OnTime,No Promo,0,2024-07,0
TRX00000145,ZLP000022,2024-09-08 08:19:12,Du lịch & Vận chuyển,Bank Transfer,517000.0,OnTime,No Promo,0,2024-09,0
TRX00000146,ZLP000022,2024-11-11 17:29:59,Du lịch & Vận chuyển,Auto-debit,1017000.0,OnTime,No Promo,0,2024-11,0
TRX00000147,ZLP000022,2024-12-25 12:03:51,Du lịch & Vận chuyển,ZaloPay Balance,1284000.0,OnTime,No Promo,0,2024-12,0
TRX00000148,ZLP000023,2024-05-02 12:56:15,Viễn thông,ZaloPay Balance,203000.0,OnTime,No Promo,0,2024-05,0
TRX00000149,ZLP000023,2024-05-21 16:28:03,Viễn thông,ZaloPay Balance,158000.0,OnTime,No Promo,0,2024-05,0
TRX00000150,ZLP000023,2024-06-15 15:30:50,Viễn thông,Auto-debit,233000.0,OnTime,No Promo,0,2024-06,0
TRX00000151,ZLP000023,2024-07-07 20:00:42,Viễn thông,Auto-debit,218000.0,OnTime,Cashback,0,2024-07,0
TRX00000152,ZLP000023,2024-08-19 14:08:08,Viễn thông,ZaloPay Balance,184000.0,OnTime,No Promo,0,2024-08,0
TRX00000153,ZLP000023,2024-09-13 19:45:20,Viễn thông,Auto-debit,261000.0,OnTime,No Promo,0,2024-09,0
TRX00000154,ZLP000023,2024-10-20 08:29:24,Viễn thông,Bank Transfer,211000.0,OnTime,No Promo,0,2024-10,0
TRX00000155,ZLP000023,2024-11-24 11:17:42,Viễn thông,ZaloPay Balance,327000.0,OnTime,No Promo,0,2024-11,0
TRX00000156,ZLP000023,2024-12-29 17:20:43,Viễn thông,Bank Transfer,72000.0,Partial,No Promo,0,2024-12,0
TRX00000157,ZLP000024,2024-01-02 15:05:11,Du lịch & Vận chuyển,Bank Transfer,563000.0,OnTime,No Promo,0,2024-01,0
TRX00000158,ZLP000024,2024-03-13 13:01:59,Viễn thông,Bank Transfer,658000.0,OnTime,No Promo,0,2024-03,0
TRX00000159,ZLP000025,2024-01-07 11:01:43,Thời trang,Bank Transfer,701000.0,Partial,No Promo,0,2024-01,0
TRX00000160,ZLP000025,2024-03-01 13:34:06,Thời trang,Bank Transfer,565000.0,Late,Cashback,0,2024-03,0
TRX00000161,ZLP000025,2024-04-26 20:04:36,Thời trang,ZaloPay Balance,565000.0,OnTime,No Promo,0,2024-04,0
TRX00000162,ZLP000025,2024-06-21 18:49:42,Thời trang,Bank Transfer,595000.0,OnTime,No Promo,0,2024-06,0
TRX00000163,ZLP000025,2024-07-12 09:06:39,Thời trang,Auto-debit,536000.0,OnTime,No Promo,0,2024-07,0
TRX00000164,ZLP000025,2024-10-17 21:18:21,Thời trang,Auto-debit,155000.0,OnTime,No Promo,0,2024-10,0
TRX00000165,ZLP000025,2024-12-17 18:17:19,Thời trang,Auto-debit,10000.0,OnTime,No Promo,0,2024-12,0
TRX00000166,ZLP000027,2024-10-01 15:50:59,Chăm sóc sức khỏe,ZaloPay Balance,370000.0,OnTime,No Promo,0,2024-10,0
TRX00000167,ZLP000027,2024-11-14 12:31:03,Chăm sóc sức khỏe,Manual,258000.0,OnTime,No Promo,0,2024-11,0
TRX00000168,ZLP000027,2024-12-10 17:30:05,Chăm sóc sức khỏe,ZaloPay Balance,338000.0,OnTime,FreeFee,0,2024-12,0
TRX00000169,ZLP000028,2024-01-07 09:28:17,Chăm sóc sức khỏe,Manual,375000.0,Late,No Promo,0,2024-01,0
TRX00000170,ZLP000028,2024-02-09 11:46:10,Chăm sóc sức khỏe,ZaloPay Balance,566000.0,OnTime,No Promo,0,2024-02,0
TRX00000171,ZLP000028,2024-03-19 18:12:29,Chăm sóc sức khỏe,Bank Transfer,627000.0,OnTime,No Promo,0,2024-03,0
TRX00000172,ZLP000028,2024-04-30 12:36:54,Chăm sóc sức khỏe,Bank Transfer,619000.0,OnTime,No Promo,0,2024-04,0
TRX00000173,ZLP000028,2024-06-05 19:01:20,Chăm sóc sức khỏe,Manual,559000.0,Partial,Cashback,0,2024-06,0
TRX00000174,ZLP000028,2024-06-29 16:42:28,Chăm sóc sức khỏe,Auto-debit,59000.0,OnTime,No Promo,0,2024-06,0
TRX00000175,ZLP000028,2024-08-09 16:56:18,Chăm sóc sức khỏe,Bank Transfer,253000.0,Late,No Promo,0,2024-08,0
TRX00000176,ZLP000028,2024-09-07 07:27:37,Chăm sóc sức khỏe,Bank Transfer,324000.0,OnTime,No Promo,0,2024-09,0
TRX00000177,ZLP000028,2024-10-10 17:06:38,Chăm sóc sức khỏe,Manual,359000.0,OnTime,No Promo,0,2024-10,0
TRX00000178,ZLP000028,2024-11-05 21:02:53,Chăm sóc sức khỏe,Bank Transfer,354000.0,OnTime,FreeFee,0,2024-11,0
TRX00000179,ZLP000028,2024-11-22 11:37:27,Chăm sóc sức khỏe,Auto-debit,515000.0,Late,No Promo,0,2024-11,0
TRX00000180,ZLP000028,2024-12-25 16:29:33,Chăm sóc sức khỏe,Bank Transfer,148000.0,OnTime,No Promo,0,2024-12,0
TRX00000181,ZLP000029,2024-01-03 09:49:21,Chăm sóc sức khỏe,ZaloPay Balance,460000.0,OnTime,No Promo,0,2024-01,0
TRX00000182,ZLP000029,2024-01-22 19:24:29,Chăm sóc sức khỏe,Bank Transfer,366000.0,OnTime,No Promo,0,2024-01,0
TRX00000183,ZLP000029,2024-03-06 09:56:04,Viễn thông,Auto-debit,651000.0,OnTime,No Promo,0,2024-03,0
TRX00000184,ZLP000029,2024-04-19 14:47:05,Chăm sóc sức khỏe,ZaloPay Balance,315000.0,OnTime,No Promo,0,2024-04,0
TRX00000185,ZLP000029,2024-04-29 14:25:39,Chăm sóc sức khỏe,Auto-debit,449000.0,OnTime,No Promo,0,2024-04,0
TRX00000186,ZLP000029,2024-05-27 15:51:26,Chăm sóc sức khỏe,Bank Transfer,134000.0,OnTime,No Promo,0,2024-05,0
TRX00000187,ZLP000029,2024-07-29 19:49:26,Thời trang,ZaloPay Balance,457000.0,OnTime,FreeFee,0,2024-07,0
TRX00000188,ZLP000029,2024-08-29 20:41:10,Thực phẩm & Ăn uống,ZaloPay Balance,628000.0,Late,FreeFee,0,2024-08,0
TRX00000189,ZLP000029,2024-09-25 10:16:39,Chăm sóc sức khỏe,Bank Transfer,426000.0,OnTime,No Promo,0,2024-09,0
TRX00000190,ZLP000029,2024-10-16 11:36:47,Chăm sóc sức khỏe,Auto-debit,362000.0,OnTime,No Promo,0,2024-10,0
TRX00000191,ZLP000029,2024-11-13 19:55:34,Chăm sóc sức khỏe,ZaloPay Balance,375000.0,OnTime,No Promo,0,2024-11,0
TRX00000192,ZLP000029,2024-12-16 11:37:24,Chăm sóc sức khỏe,ZaloPay Balance,394000.0,OnTime,No Promo,0,2024-12,0
TRX00000193,ZLP000030,2024-01-02 21:06:10,Thời trang,Bank Transfer,408000.0,OnTime,No Promo,0,2024-01,0
TRX00000194,ZLP000030,2024-02-04 13:27:20,Thời trang,Auto-debit,913000.0,OnTime,No Promo,0,2024-02,0
TRX00000195,ZLP000030,2024-04-07 18:58:43,Thời trang,Auto-debit,522000.0,OnTime,LimitUpgrade,0,2024-04,0
TRX00000196,ZLP000030,2024-04-29 16:57:32,Viễn thông,Bank Transfer,413000.0,Partial,No Promo,0,2024-04,0
TRX00000197,ZLP000030,2024-06-02 15:58:47,Thời trang,Manual,456000.0,OnTime,No Promo,0,2024-06,0
TRX00000198,ZLP000030,2024-07-28 17:24:19,Thời trang,ZaloPay Balance,612000.0,OnTime,No Promo,0,2024-07,0
