customer_id,age,gender,city,city_tier,kyc_verified,phone_verified,device_type,referral_source,activation_date,credit_limit_vnd,primary_cat_pref,wl_age_days,first_trx_date,last_trx_date,recency_days,total_trx_count,total_amount_vnd,avg_amount_vnd,max_amount_vnd,outstanding_balance_vnd,utilization_ratio,tenure_days,avg_inter_days,months_active,max_consecutive_months,spending_velocity_ratio,r90_count,r90_amount,unique_categories,top_category,late_count,partial_count,ontime_count,late_rate,promo_count,promo_rate,suspicious_count,lifecycle_segment,churn_30d,churn_60d,churn_90d,churn_label
ZLP000015,18.0,Female,Hà Nội,1,1,1,Android,Social,2023-10-03,1000000,Điện & Nước,93.0,2024-01-04 17:58:49,2024-11-24 13:20:01,36.0,12.0,3170000.0,264166.6666666667,411000.0,0.0,0.2642,324.0,27.0,11.0,11.0,0.6,2.0,683000.0,1.0,Điện & Nước,2.0,0.0,10.0,0.1667,1.0,0.0833,0.0,RPU_Mid,1,0,0,0
ZLP000016,24.0,Male,Hà Nội,1,1,1,Android,Unknown,2023-10-03,2000000,Viễn thông,93.0,2024-01-04 10:22:10,2024-12-28 21:24:36,2.0,14.0,2813000.0,200928.57142857142,296000.0,243000.0,0.1172,359.0,25.6,11.0,10.0,1.14,4.0,884000.0,4.0,Viễn thông,2.0,2.0,10.0,0.1429,5.0,0.3571,0.0,RPU_Mid,0,0,0,0
ZLP000017,21.0,Male,Bình Dương,3,1,1,iOS,Campaign,2024-05-30,2000000,Điện tử,5.0,2024-06-04 22:27:48,2024-11-20 20:15:19,40.0,4.0,10200100.000000006,2550025.0000000014,3203550.000000003,0.0,0.425,168.0,42.0,4.0,2.0,0.467,1.0,1992000.0,1.0,Điện tử,0.0,0.0,4.0,0.0,0.0,0.0,0.0,RPU_Early,1,0,0,0
ZLP000018,29.0,Male,Hồ Chí Minh,1,1,0,Android,Social,2023-04-06,2000000,Viễn thông,273.0,2024-01-04 08:16:23,2024-12-29 21:22:32,1.0,14.0,2540000.0,181428.57142857142,282000.0,344000.0,0.1058,360.0,25.7,11.0,6.0,1.143,4.0,611000.0,4.0,Viễn thông,2.0,0.0,12.0,0.1429,3.0,0.2143,0.0,RPU_Mid,0,0,0,0
ZLP000019,22.0,Female,Hà Nội,1,1,1,iOS,Referral,2024-11-26,1000000,Thời trang,1.0,2024-11-27 17:18:10,2024-11-27 17:18:10,33.0,1.0,860000.0,860000.0,860000.0,0.0,0.0717,1.0,1.0,1.0,1.0,0.011,1.0,860000.0,1.0,Thời trang,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FPU,1,0,0,0
ZLP000020,19.0,Female,Đồng Nai,3,1,1,iOS,Campaign,2024-01-15,2000000,Thời trang,6.0,2024-01-21 11:31:01,2024-11-30 15:55:14,30.0,8.0,5136000.0,642000.0,980000.0,0.0,0.214,314.0,39.2,8.0,3.0,0.872,2.0,981000.0,2.0,Thời trang,3.0,0.0,5.0,0.375,2.0,0.25,0.0,RPU_Mid,1,0,0,0
ZLP000021,36.0,Female,Cần Thơ,2,1,1,Android,Organic,2024-01-31,5000000,Viễn thông,4.0,2024-02-04 20:51:34,2024-12-03 12:16:03,27.0,12.0,2451000.0,204250.0,328000.0,213000.0,0.0408,302.0,25.2,11.0,11.0,0.839,3.0,517000.0,1.0,Viễn thông,1.0,0.0,11.0,0.0833,1.0,0.0833,0.0,RPU_Mid,0,0,0,0
ZLP000022,26.0,Female,Bình Dương,3,1,1,Android,Referral,2023-12-18,3000000,Du lịch & Vận chuyển,15.0,2024-01-02 11:14:50,2024-12-25 12:03:51,5.0,7.0,6040000.0,862857.1428571428,1626000.0,1284000.0,0.1678,358.0,51.1,7.0,2.0,1.137,2.0,2301000.0,1.0,Du lịch & Vận chuyển,0.0,1.0,6.0,0.0,0.0,0.0,0.0,RPU_Mid,0,0,0,0
ZLP000023,28.0,Female,Đồng Nai,3,0,1,iOS,Unknown,2024-04-30,2000000,Viễn thông,2.0,2024-05-02 12:56:15,2024-12-29 17:20:43,1.0,9.0,1867000.0,207444.44444444444,327000.0,72000.0,0.0778,241.0,26.8,8.0,8.0,0.893,3.0,610000.0,1.0,Viễn thông,0.0,1.0,8.0,0.0,1.0,0.1111,0.0,RPU_Mid,0,0,0,0
ZLP000024,19.0,Male,Đồng Nai,3,1,1,Android,Campaign,2024-01-01,2000000,Du lịch & Vận chuyển,1.0,2024-01-02 15:05:11,2024-03-13 13:01:59,292.0,2.0,1221000.0,610500.0,658000.0,0.0,0.0509,70.0,35.0,2.0,1.0,0.0,0.0,0.0,2.0,Du lịch & Vận chuyển,0.0,0.0,2.0,0.0,0.0,0.0,0.0,RPU_Early,1,1,1,1
ZLP000025,24.0,Female,Bình Dương,3,1,0,Android,Organic,2023-12-02,1000000,Thời trang,36.0,2024-01-07 11:01:43,2024-12-17 18:17:19,13.0,7.0,3127000.0,446714.28571428574,701000.0,10000.0,0.2606,345.0,49.3,7.0,2.0,1.095,2.0,165000.0,1.0,Thời trang,1.0,1.0,5.0,0.1429,1.0,0.1429,0.0,RPU_Mid,0,0,0,0
ZLP000026,28.0,Male,Hà Nội,1,0,0,iOS,Organic,2023-11-02,1000000,Điện & Nước,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000027,21.0,Male,Hồ Chí Minh,3,1,1,iOS,Referral,2024-09-27,1000000,Chăm sóc sức khỏe,4.0,2024-10-01 15:50:59,2024-12-10 17:30:05,20.0,3.0,966000.0,322000.0,370000.0,338000.0,0.0805,70.0,23.3,3.0,3.0,0.519,2.0,596000.0,1.0,Chăm sóc sức khỏe,0.0,0.0,3.0,0.0,1.0,0.3333,0.0,RPU_Early,0,0,0,0
ZLP000028,30.0,Male,Đà Nẵng,2,1,1,Android,Organic,2023-12-02,2000000,Chăm sóc sức khỏe,36.0,2024-01-07 09:28:17,2024-12-25 16:29:33,5.0,12.0,4758000.0,396500.0,627000.0,148000.0,0.1982,353.0,29.4,10.0,5.0,1.307,4.0,1376000.0,1.0,Chăm sóc sức khỏe,3.0,1.0,8.0,0.25,2.0,0.1667,0.0,RPU_Mid,0,0,0,0
ZLP000029,24.0,Female,Hồ Chí Minh,1,1,1,iOS,Campaign,2024-01-01,3000000,Chăm sóc sức khỏe,2.0,2024-01-03 09:49:21,2024-12-16 11:37:24,14.0,12.0,5017000.0,418083.3333333333,651000.0,394000.0,0.1394,348.0,29.0,10.0,6.0,0.967,3.0,1131000.0,4.0,Chăm sóc sức khỏe,1.0,0.0,11.0,0.0833,2.0,0.1667,0.0,RPU_Mid,0,0,0,0
ZLP000030,26.0,Male,Hà Nội,1,1,0,Android,Organic,2023-12-02,2000000,Thời trang,31.0,2024-01-02 21:06:10,2024-11-14 07:02:22,46.0,9.0,4925000.0,547222.2222222222,913000.0,0.0,0.2052,316.0,35.1,8.0,3.0,0.39,1.0,518000.0,2.0,Thời trang,0.0,1.0,8.0,0.0,2.0,0.2222,0.0,RPU_Mid,1,0,0,0
ZLP000031,24.0,Female,Bình Dương,3,1,1,iOS,Referral,2023-07-05,1000000,Điện tử,181.0,2024-01-02 18:43:14,2024-09-15 22:27:44,106.0,4.0,5999000.0,1499750.0,2931000.0,0.0,0.4999,257.0,64.2,4.0,1.0,0.0,0.0,0.0,2.0,Điện tử,1.0,0.0,3.0,0.25,2.0,0.5,0.0,RPU_Early,1,1,1,1
ZLP000032,39.0,Male,An Giang,3,1,1,iOS,Campaign,2023-10-03,2000000,Du lịch & Vận chuyển,94.0,2024-01-05 10:24:39,2024-12-20 13:50:47,10.0,6.0,3365000.0,560833.3333333334,940000.0,788000.0,0.1402,350.0,58.3,6.0,1.0,1.296,2.0,1359000.0,2.0,Du lịch & Vận chuyển,0.0,0.0,6.0,0.0,3.0,0.5,0.0,RPU_Mid,0,0,0,0
ZLP000033,27.0,Female,Hồ Chí Minh,1,1,1,Android,Referral,2023-10-03,1000000,Điện & Nước,91.0,2024-01-02 20:26:51,2024-12-13 23:35:18,17.0,14.0,3726000.0,266142.85714285716,437000.0,210000.0,0.3105,346.0,24.7,12.0,12.0,0.824,3.0,585000.0,2.0,Điện & Nước,0.0,0.0,14.0,0.0,3.0,0.2143,0.0,RPU_Mid,0,0,0,0
ZLP000034,21.0,Male,Hồ Chí Minh,1,1,1,iOS,Organic,2024-04-30,3000000,Điện & Nước,0.0,2024-04-30 16:22:39,2024-12-22 16:04:36,8.0,10.0,3015000.0,301500.0,419000.0,316000.0,0.0838,235.0,23.5,9.0,9.0,0.783,3.0,832000.0,2.0,Điện & Nước,1.0,0.0,9.0,0.1,0.0,0.0,0.0,RPU_Mid,0,0,0,0
ZLP000035,32.0,Male,Hải Phòng,2,1,1,iOS,Organic,2023-12-18,1000000,Điện & Nước,15.0,2024-01-02 08:12:26,2024-01-02 08:12:26,363.0,1.0,285000.0,285000.0,285000.0,0.0,0.0238,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,Điện & Nước,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FPU,1,1,1,1
ZLP000036,20.0,Male,Hồ Chí Minh,3,1,1,Android,Organic,2024-05-30,2000000,Du lịch & Vận chuyển,4.0,2024-06-03 23:13:36,2024-12-14 16:20:38,16.0,5.0,4666000.0,933200.0,1527000.0,626000.0,0.1944,193.0,38.6,5.0,3.0,1.287,3.0,3117000.0,2.0,Du lịch & Vận chuyển,1.0,0.0,4.0,0.2,0.0,0.0,0.0,RPU_Early,0,0,0,0
ZLP000037,29.0,Female,Hồ Chí Minh,1,1,1,Android,Unknown,2024-04-30,2000000,Thời trang,2.0,2024-05-02 14:29:12,2024-06-28 20:49:47,185.0,2.0,824000.0,412000.0,426000.0,0.0,0.0343,57.0,28.5,2.0,2.0,0.0,0.0,0.0,1.0,Thời trang,0.0,0.0,2.0,0.0,0.0,0.0,0.0,RPU_Early,1,1,1,1
ZLP000038,18.0,Male,Hà Nội,1,0,1,iOS,Organic,2023-10-03,1000000,Điện & Nước,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000039,20.0,Female,Cần Thơ,2,1,1,Android,Referral,2024-01-31,500000,Điện & Nước,1.0,2024-02-01 16:12:57,2024-12-25 18:34:58,5.0,13.0,3189000.0,245307.6923076923,370000.0,313000.0,0.5315,328.0,25.2,11.0,11.0,1.121,4.0,1021000.0,1.0,Điện & Nước,3.0,0.0,10.0,0.2308,2.0,0.1538,0.0,RPU_Mid,0,0,0,0
ZLP000040,29.0,Female,Hà Nội,1,1,1,Android,Organic,2024-05-30,2000000,Thực phẩm & Ăn uống,1.0,2024-05-31 11:39:13,2024-12-24 08:55:31,6.0,13.0,1998000.0,153692.3076923077,279000.0,119000.0,0.0832,206.0,15.8,8.0,8.0,1.056,6.0,638000.0,2.0,Thực phẩm & Ăn uống,1.0,1.0,11.0,0.0769,2.0,0.1538,0.0,RPU_Mid,0,0,0,0
ZLP000041,32.0,Female,Hải Phòng,2,1,1,Android,Unknown,2024-03-31,500000,Chăm sóc sức khỏe,3.0,2024-04-03 11:31:05,2024-12-07 08:37:44,23.0,8.0,2730000.0,341250.0,595000.0,543000.0,0.455,247.0,30.9,7.0,3.0,0.686,2.0,781000.0,2.0,Chăm sóc sức khỏe,1.0,0.0,7.0,0.125,1.0,0.125,0.0,RPU_Mid,0,0,0,0
ZLP000042,29.0,Female,Hồ Chí Minh,1,1,1,Android,Campaign,2024-03-01,2000000,Chăm sóc sức khỏe,2.0,2024-03-03 15:42:14,2024-11-28 17:24:25,32.0,10.0,3370000.0,337000.0,476000.0,0.0,0.1404,270.0,27.0,9.0,9.0,0.6,2.0,690000.0,1.0,Chăm sóc sức khỏe,1.0,1.0,8.0,0.1,4.0,0.4,0.0,RPU_Mid,1,0,0,0
ZLP000043,27.0,Male,Hồ Chí Minh,1,1,1,Android,Organic,2024-05-30,3000000,Chăm sóc sức khỏe,6.0,2024-06-05 14:47:14,2024-12-07 15:19:52,23.0,7.0,2516000.0,359428.5714285714,438000.0,400000.0,0.0699,185.0,26.4,7.0,7.0,0.881,3.0,1240000.0,1.0,Chăm sóc sức khỏe,1.0,0.0,6.0,0.1429,3.0,0.4286,0.0,RPU_Mid,0,0,0,0
ZLP000044,26.0,Male,Hồ Chí Minh,1,1,1,iOS,Organic,2023-04-06,1000000,Điện tử,271.0,2024-01-02 18:49:48,2024-12-20 17:21:03,10.0,5.0,12932100.000000006,2586420.000000001,3203550.000000003,1966000.0,1.0,352.0,70.4,5.0,2.0,0.782,1.0,1966000.0,1.0,Điện tử,0.0,0.0,5.0,0.0,2.0,0.4,0.0,RPU_Early,0,0,0,0
ZLP000045,19.0,Female,Hà Nội,1,1,1,iOS,Campaign,2024-04-30,2000000,Điện & Nước,5.0,2024-05-05 19:58:06,2024-12-22 21:35:10,8.0,10.0,2505000.0,250500.0,351000.0,235000.0,0.1044,231.0,23.1,8.0,8.0,1.027,4.0,939000.0,1.0,Điện & Nước,1.0,1.0,8.0,0.1,2.0,0.2,0.0,RPU_Mid,0,0,0,0
ZLP000046,23.0,Female,Hồ Chí Minh,1,0,1,Android,Social,2023-11-02,5000000,Điện tử,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000047,25.0,Female,Hồ Chí Minh,1,1,1,Android,Unknown,2024-01-31,2000000,Thực phẩm & Ăn uống,3.0,2024-02-03 11:17:57,2024-12-26 11:48:21,4.0,18.0,3147000.0,174833.33333333334,282000.0,437000.0,0.1311,327.0,18.2,11.0,11.0,0.807,4.0,670000.0,2.0,Thực phẩm & Ăn uống,2.0,3.0,13.0,0.1111,2.0,0.1111,0.0,RPU_Loyal,0,0,0,0
ZLP000048,34.0,Female,Bình Dương,3,1,1,iOS,Social,2023-11-02,5000000,Điện tử,66.0,2024-01-07 13:25:52,2024-12-28 22:35:24,2.0,5.0,10210000.0,2042000.0,2757000.0,91000.0,0.1702,356.0,71.2,5.0,1.0,1.582,2.0,2243000.0,1.0,Điện tử,0.0,0.0,5.0,0.0,1.0,0.2,0.0,RPU_Early,0,0,0,0
ZLP000049,30.0,Male,Hồ Chí Minh,1,1,1,iOS,Campaign,2024-07-29,1000000,Thực phẩm & Ăn uống,6.0,2024-08-04 16:04:56,2024-12-12 10:34:30,18.0,11.0,2370000.0,215454.54545454544,328000.0,267000.0,0.1975,129.0,11.7,5.0,5.0,0.912,7.0,1544000.0,3.0,Thực phẩm & Ăn uống,1.0,0.0,10.0,0.0909,0.0,0.0,0.0,RPU_Mid,0,0,0,0
ZLP000050,18.0,Male,An Giang,3,1,1,iOS,Social,2024-01-15,3000000,Thực phẩm & Ăn uống,2.0,2024-01-17 10:10:52,2024-12-22 14:51:28,8.0,19.0,3275000.0,172368.42105263157,366000.0,312000.0,0.091,340.0,17.9,12.0,12.0,0.994,5.0,806000.0,3.0,Thực phẩm & Ăn uống,3.0,0.0,16.0,0.1579,3.0,0.1579,0.0,RPU_Loyal,0,0,0,0
ZLP000051,29.0,Female,Hà Nội,1,0,1,Android,Social,2024-03-31,2000000,Điện & Nước,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000052,25.0,Male,Cần Thơ,2,0,1,Android,Unknown,2024-06-29,3000000,Du lịch & Vận chuyển,1.0,2024-06-30 12:42:46,2024-11-21 09:10:53,39.0,5.0,4603000.0,920600.0,1667000.0,0.0,0.1279,143.0,28.6,4.0,3.0,0.318,1.0,975000.0,1.0,Du lịch & Vận chuyển,1.0,0.0,4.0,0.2,0.0,0.0,0.0,RPU_Early,1,0,0,0
ZLP000053,23.0,Male,Hồ Chí Minh,1,1,1,iOS,Organic,2024-08-28,500000,Thực phẩm & Ăn uống,3.0,2024-08-31 08:45:41,2024-12-15 17:45:20,15.0,8.0,916000.0,114500.0,205000.0,182000.0,0.1527,106.0,13.2,5.0,5.0,0.883,6.0,699000.0,2.0,Thực phẩm & Ăn uống,3.0,3.0,2.0,0.375,0.0,0.0,0.0,RPU_Mid,0,0,0,0
ZLP000054,31.0,Female,Hồ Chí Minh,1,1,1,iOS,Social,2024-04-30,1000000,Thời trang,1.0,2024-05-01 11:44:13,2024-12-20 08:54:05,10.0,7.0,3616000.0,516571.4285714286,883000.0,413000.0,0.3013,232.0,33.1,6.0,3.0,1.105,3.0,1400000.0,2.0,Thời trang,1.0,0.0,6.0,0.1429,1.0,0.1429,0.0,RPU_Mid,0,0,0,0
ZLP000055,34.0,Male,Đà Nẵng,2,1,1,iOS,Organic,2023-10-03,1000000,Viễn thông,90.0,2024-01-01 14:19:45,2024-12-29 22:21:22,1.0,15.0,2989000.0,199266.66666666666,358000.0,522000.0,0.2491,363.0,24.2,12.0,12.0,1.076,4.0,1050000.0,4.0,Viễn thông,1.0,0.0,14.0,0.0667,4.0,0.2667,1.0,RPU_Mid,0,0,0,0
ZLP000056,33.0,Female,Đà Nẵng,2,1,1,iOS,Campaign,2024-07-29,5000000,Thực phẩm & Ăn uống,3.0,2024-08-01 10:21:36,2024-12-13 19:15:24,17.0,8.0,1756000.0,219500.0,359000.0,292000.0,0.0293,134.0,16.8,5.0,5.0,0.931,5.0,1279000.0,5.0,Thực phẩm & Ăn uống,0.0,1.0,7.0,0.0,1.0,0.125,0.0,RPU_Mid,0,0,0,0
ZLP000057,22.0,Female,Đồng Nai,3,1,1,Android,Referral,2024-03-01,2000000,Du lịch & Vận chuyển,6.0,2024-03-07 09:04:08,2024-12-11 21:59:30,19.0,8.0,5790000.0,723750.0,1769000.0,548000.0,0.2412,279.0,34.9,7.0,4.0,0.388,1.0,548000.0,1.0,Du lịch & Vận chuyển,3.0,0.0,5.0,0.375,2.0,0.25,0.0,RPU_Mid,0,0,0,0
ZLP000058,26.0,Female,Bình Dương,3,1,1,Android,Campaign,2024-03-01,5000000,Viễn thông,1.0,2024-03-02 18:01:38,2024-12-29 20:46:17,1.0,13.0,3065000.0,235769.23076923078,338000.0,296000.0,0.0511,302.0,23.2,10.0,10.0,0.774,3.0,965000.0,1.0,Viễn thông,3.0,0.0,10.0,0.2308,2.0,0.1538,0.0,RPU_Mid,0,0,0,0
ZLP000059,29.0,Male,Cần Thơ,2,0,1,Android,Campaign,2024-09-27,1000000,Viễn thông,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000060,33.0,Male,Hà Nội,1,0,1,Android,Unknown,2023-11-02,1000000,Viễn thông,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000061,25.0,Female,An Giang,3,0,1,iOS,Social,2023-11-02,1000000,Thời trang,,,,,,,,,,,,,,,,,,,,,,,,,,,No_Transaction,1,1,1,1
ZLP000062,26.0,Male,Cần Thơ,2,1,1,iOS,Campaign,2024-01-15,2000000,Thực phẩm & Ăn uống,5.0,2024-01-20 08:06:23,2024-12-27 07:48:07,3.0,17.0,2391000.0,140647.0588235294,245000.0,195000.0,0.0996,341.0,20.1,12.0,12.0,1.114,5.0,681000.0,2.0,Thực phẩm & Ăn uống,2.0,0.0,15.0,0.1176,2.0,0.1176,0.0,RPU_Loyal,0,0,0,0
ZLP000063,21.0,Male,Thanh Hóa,3,1,1,Android,Referral,2024-05-30,3000000,Điện & Nước,3.0,2024-06-02 12:17:22,2024-12-03 20:11:40,27.0,7.0,1436000.0,205142.85714285713,297000.0,250000.0,0.0399,184.0,26.3,6.0,3.0,0.876,3.0,703000.0,1.0,Điện & Nước,0.0,0.0,7.0,0.0,1.0,0.1429,0.0,RPU_Mid,0,0,0,0
ZLP000064,20.0,Male,Đồng Nai,3,1,1,Android,Organic,2024-01-01,2000000,Điện tử,6.0,2024-01-07 13:54:00,2024-12-10 20:41:42,20.0,5.0,10937550.000000004,2187510.000000001,3203550.000000003,1337000.0,0.4557,338.0,67.6,5.0,1.0,0.751,1.0,1337000.0,1.0,Điện tử,0.0,0.0,5.0,0.0,1.0,0.2,0.0,RPU_Early,0,0,0,0
ZLP000065,32.0,Male,Hồ Chí Minh,1,1,1,iOS,Campaign,2024-03-31,5000000,Du lịch & Vận chuyển,4.0,2024-04-04 15:02:56,2024-04-28 07:46:02,246.0,2.0,1971000.0,985500.0,1214000.0,0.0,0.0328,23.0,11.5,1.0,1.0,0.0,0.0,0.0,1.0,Du lịch & Vận chuyển,0.0,0.0,2.0,0.0,1.0,0.5,0.0,RPU_Early,1,1,1,1
ZLP000066,36.0,Male,Hà Nội,1,1,1,Android,Referral,2024-01-01,1000000,Viễn thông,4.0,2024-01-05 12:27:46,2024-12-04 08:02:29,26.0,13.0,2881000.0,221615.38461538462,432000.0,106000.0,0.2401,333.0,25.6,12.0,12.0,0.854,3.0,506000.0,2.0,Viễn thông,4.0,1.0,8.0,0.3077,4.0,0.3077,0.0,RPU_Mid,0,0,0,0
ZLP000067,27.0,Female,Đà Nẵng,2,1,1,Unknown,Unknown,2024-03-01,2000000,Điện tử,4.0,2024-03-05 13:22:43,2024-12-05 21:47:11,25.0,4.0,8978550.000000004,2244637.500000001,3203550.000000003,2096000.0,0.3741,275.0,68.8,4.0,1.0,0.764,1.0,2096000.0,3.0,Điện tử,1.0,0.0,3.0,0.25,1.0,0.25,0.0,RPU_Early,0,0,0,0
ZLP000068,34.0,Male,Bình Dương,3,1,1,iOS,Unknown,2024-06-29,3000000,Thời trang,2.0,2024-07-01 11:41:26,2024-12-09 17:26:14,21.0,5.0,2838000.0,567600.0,1036000.0,358000.0,0.0788,161.0,32.2,5.0,4.0,0.716,2.0,686000.0,1.0,Thời trang,2.0,0.0,3.0,0.4,1.0,0.2,0.0,RPU_Early,0,0,0,0
ZLP000069,30.0,Male,Đà Nẵng,2,1,1,Android,Organic,2023-10-03,1000000,Viễn thông,93.0,2024-01-04 21:53:52,2024-11-30 09:55:05,30.0,12.0,2152000.0,179333.33333333334,296000.0,0.0,0.1793,330.0,27.5,11.0,11.0,0.917,3.0,295000.0,5.0,Viễn thông,1.0,1.0,10.0,0.0833,1.0,0.0833,0.0,RPU_Mid,1,0,0,0
