customer_id,activation_date,age,gender,city,city_tier,kyc_verified,phone_verified,credit_limit_vnd,primary_cat_pref,referral_source,device_type
ZLP000049,2024-07-29,30.0,Male,Hồ Chí Minh,1,1,1,1000000,Thực phẩm & Ăn uống,Campaign,iOS
ZLP000050,2024-01-15,18.0,Male,An Giang,3,1,1,3000000,Thực phẩm & Ăn uống,Social,iOS
ZLP000051,2024-03-31,29.0,Female,Hà Nội,1,0,1,2000000,Điện & Nước,Social,Android
ZLP000052,2024-06-29,25.0,Male,Cần Thơ,2,0,1,3000000,Du lịch & Vận chuyển,Unknown,Android
ZLP000053,2024-08-28,23.0,Male,Hồ Chí Minh,1,1,1,500000,Thực phẩm & Ăn uống,Organic,iOS
ZLP000054,2024-04-30,31.0,Female,Hồ Chí Minh,1,1,1,1000000,Thời trang,Social,iOS
ZLP000055,2023-10-03,34.0,Male,Đà Nẵng,2,1,1,1000000,Viễn thông,Organic,iOS
ZLP000056,2024-07-29,33.0,Female,Đà Nẵng,2,1,1,5000000,Thực phẩm & Ăn uống,Campaign,iOS
ZLP000057,2024-03-01,22.0,Female,Đồng Nai,3,1,1,2000000,Du lịch & Vận chuyển,Referral,Android
ZLP000058,2024-03-01,26.0,Female,Bình Dương,3,1,1,5000000,Viễn thông,Campaign,Android
ZLP000059,2024-09-27,29.0,Male,Cần Thơ,2,0,1,1000000,Viễn thông,Campaign,Android
ZLP000060,2023-11-02,33.0,Male,Hà Nội,1,0,1,1000000,Viễn thông,Unknown,Android
ZLP000061,2023-11-02,25.0,Female,An Giang,3,0,1,1000000,Thời trang,Social,iOS
ZLP000062,2024-01-15,26.0,Male,Cần Thơ,2,1,1,2000000,Thực phẩm & Ăn uống,Campaign,iOS
ZLP000063,2024-05-30,21.0,Male,Thanh Hóa,3,1,1,3000000,Điện & Nước,Referral,Android
ZLP000064,2024-01-01,20.0,Male,Đồng Nai,3,1,1,2000000,Điện tử,Organic,Android
ZLP000065,2024-03-31,32.0,Male,Hồ Chí Minh,1,1,1,5000000,Du lịch & Vận chuyển,Campaign,iOS
ZLP000066,2024-01-01,36.0,Male,Hà Nội,1,1,1,1000000,Viễn thông,Referral,Android
ZLP000067,2024-03-01,27.0,Female,Đà Nẵng,2,1,1,2000000,Điện tử,Unknown,Unknown
ZLP000068,2024-06-29,34.0,Male,Bình Dương,3,1,1,3000000,Thời trang,Unknown,iOS
ZLP000069,2023-10-03,30.0,Male,Đà Nẵng,2,1,1,1000000,Viễn thông,Organic,Android
ZLP000070,2024-04-30,24.0,Female,Đồng Nai,3,1,1,500000,Thời trang,Unknown,Android
ZLP000071,2024-06-29,30.0,Female,Hà Nội,1,1,1,1000000,Viễn thông,Referral,iOS
ZLP000072,2024-01-01,37.0,Male,Hồ Chí Minh,1,1,1,500000,Chăm sóc sức khỏe,Organic,iOS
ZLP000073,2023-12-02,27.0,Male,Hồ Chí Minh,1,1,1,5000000,Điện & Nước,Campaign,Android
ZLP000074,2023-01-01,37.0,Female,Đà Nẵng,2,0,1,5000000,Thời trang,Campaign,Android
ZLP000075,2024-06-29,18.0,Female,Bình Dương,3,1,1,3000000,Viễn thông,Campaign,Android
ZLP000076,2023-12-02,32.0,Female,Hà Nội,1,1,1,3000000,Du lịch & Vận chuyển,Organic,iOS
ZLP000077,2023-12-18,28.0,Female,Cần Thơ,2,1,1,1000000,Thực phẩm & Ăn uống,Campaign,Android
ZLP000078,2023-12-02,26.0,Male,Hồ Chí Minh,1,1,1,500000,Chăm sóc sức khỏe,Organic,iOS
ZLP000079,2024-01-15,28.0,Female,Hồ Chí Minh,1,1,1,3000000,Du lịch & Vận chuyển,Unknown,iOS
ZLP000080,2024-04-30,18.0,Male,Bình Dương,3,0,1,2000000,Thực phẩm & Ăn uống,Social,Android
ZLP000081,2024-05-30,26.0,Female,Hà Nội,1,1,0,2000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000082,2023-12-18,30.0,Female,Cần Thơ,2,1,1,3000000,Điện tử,Organic,Android
ZLP000083,2024-03-31,36.0,Female,Hải Phòng,2,1,1,2000000,Điện & Nước,Campaign,Android
ZLP000084,2024-04-30,24.0,Male,Hải Phòng,2,1,1,1000000,Điện & Nước,Referral,Android
ZLP000085,2023-12-02,23.0,Male,Hồ Chí Minh,1,1,1,3000000,Chăm sóc sức khỏe,Social,Android
ZLP000086,2023-07-05,24.0,Female,Hà Nội,1,1,1,2000000,Thực phẩm & Ăn uống,Organic,Android
ZLP000087,2024-08-28,33.0,Female,Bình Dương,3,1,1,3000000,Thực phẩm & Ăn uống,Referral,Android
ZLP000088,2024-03-31,29.0,Female,Đồng Nai,3,1,1,2000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000089,2024-03-31,24.0,Male,Đồng Nai,3,0,1,1000000,Du lịch & Vận chuyển,Organic,iOS
ZLP000090,2023-04-06,31.0,Male,Hồ Chí Minh,1,1,0,1000000,Điện & Nước,Organic,Android
ZLP000091,2024-06-29,28.0,Female,Hồ Chí Minh,1,1,1,3000000,Thực phẩm & Ăn uống,Referral,iOS
ZLP000092,2024-01-31,33.0,Male,Đà Nẵng,2,1,1,2000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000093,2024-07-29,23.0,Female,Bình Dương,3,1,1,2000000,Chăm sóc sức khỏe,Unknown,Android
ZLP000094,2024-11-26,26.0,Female,Hà Nội,1,1,1,2000000,Điện tử,Social,iOS
ZLP000095,2024-09-27,25.0,Female,Hồ Chí Minh,1,1,1,2000000,Điện & Nước,Campaign,Android
ZLP000096,2024-07-29,19.0,Female,Bình Dương,3,1,1,1000000,Thời trang,Referral,iOS
ZLP000097,2023-01-01,29.0,Female,Hà Nội,1,0,1,1000000,Thời trang,Organic,iOS
ZLP000098,2024-08-28,29.0,Male,Hồ Chí Minh,1,1,1,1000000,Điện & Nước,Unknown,Android
ZLP000099,2023-07-05,28.0,Female,Hồ Chí Minh,1,1,1,2000000,Chăm sóc sức khỏe,Campaign,Android
ZLP000100,2024-07-29,26.0,Male,Hà Nội,1,0,1,2000000,Viễn thông,Campaign,iOS
ZLP000101,2023-12-02,19.0,Female,Đà Nẵng,2,1,1,1000000,Thời trang,Social,iOS
ZLP000102,2024-03-01,25.0,Male,Hà Nội,1,1,1,2000000,Thực phẩm & Ăn uống,Unknown,Android
ZLP000103,2023-04-06,25.0,Female,Hồ Chí Minh,1,1,1,2000000,Điện & Nước,Unknown,iOS
ZLP000104,2024-05-30,23.0,Male,Hồ Chí Minh,1,1,1,1000000,Thực phẩm & Ăn uống,Referral,iOS
ZLP000105,2023-07-05,27.0,Male,Hà Nội,1,1,1,5000000,Viễn thông,Organic,iOS
ZLP000106,2023-12-18,30.0,Female,Cần Thơ,2,1,1,500000,Điện & Nước,Organic,iOS
ZLP000107,2024-06-29,39.0,Male,Hồ Chí Minh,1,1,1,2000000,Viễn thông,Campaign,Android
ZLP000108,2024-04-30,29.0,Female,Đà Nẵng,2,1,1,1000000,Thời trang,Campaign,iOS
ZLP000109,2023-01-01,29.0,Other,Hồ Chí Minh,1,1,1,3000000,Điện & Nước,Campaign,iOS
ZLP000110,2023-12-18,27.0,Male,Hồ Chí Minh,1,1,1,5000000,Điện & Nước,Social,Android
ZLP000111,2023-04-06,18.0,Female,Hồ Chí Minh,1,0,0,2000000,Giải trí,Campaign,Android
ZLP000112,2024-03-31,27.0,Female,Hồ Chí Minh,1,1,1,3000000,Điện & Nước,Unknown,Android
ZLP000113,2024-11-26,28.0,Male,Cần Thơ,2,1,1,1000000,Thực phẩm & Ăn uống,Organic,Android
ZLP000114,2024-03-31,42.0,Female,Hà Nội,1,1,1,1000000,Điện & Nước,Organic,iOS
ZLP000115,2023-11-02,26.0,Female,Hải Phòng,2,1,1,1000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000116,2023-12-02,29.0,Male,Hồ Chí Minh,1,1,1,1000000,Thực phẩm & Ăn uống,Campaign,iOS
ZLP000117,2024-11-26,27.0,Female,Hồ Chí Minh,1,1,0,2000000,Điện & Nước,Social,Android
ZLP000118,2023-11-02,20.0,Female,Hà Nội,1,1,1,1000000,Điện tử,Campaign,Android
ZLP000119,2024-01-31,34.0,Female,Đồng Nai,3,1,0,2000000,Chăm sóc sức khỏe,Organic,Android
ZLP000120,2023-12-18,32.0,Male,Hà Nội,1,1,1,3000000,Du lịch & Vận chuyển,Referral,iOS
ZLP000121,2024-05-30,32.0,Female,Hà Nội,1,1,1,1000000,Điện tử,Campaign,Android
ZLP000122,2024-07-29,27.0,Female,Hà Nội,1,0,1,500000,Điện & Nước,Organic,Unknown
ZLP000123,2023-12-02,36.0,Female,Hồ Chí Minh,1,1,1,2000000,Thời trang,Unknown,iOS
ZLP000124,2024-03-31,19.0,Female,Nghệ An,3,0,1,2000000,Thực phẩm & Ăn uống,Campaign,Android
ZLP000125,2024-01-31,31.0,Female,Đà Nẵng,2,1,1,500000,Điện tử,Organic,Android
ZLP000126,2023-12-02,41.0,Male,Đồng Nai,3,1,1,1000000,Thời trang,Referral,Android
ZLP000127,2023-11-02,22.0,Female,Cần Thơ,2,0,1,2000000,Điện tử,Social,iOS
ZLP000128,2024-01-31,24.0,Male,Đà Nẵng,2,1,1,1000000,Viễn thông,Referral,Android
ZLP000129,2023-10-03,28.0,Female,Hồ Chí Minh,1,1,1,3000000,Thực phẩm & Ăn uống,Referral,Android
ZLP000130,2024-06-29,24.0,Male,Cần Thơ,2,1,0,1000000,Thực phẩm & Ăn uống,Campaign,iOS
ZLP000131,2023-04-06,18.0,Male,Hồ Chí Minh,1,0,1,500000,Giải trí,Social,Android
ZLP000132,2023-07-05,28.0,Male,Hà Nội,1,1,1,2000000,Điện & Nước,Referral,Android
ZLP000133,2023-12-02,21.0,Female,Cần Thơ,2,1,1,5000000,Chăm sóc sức khỏe,Campaign,iOS
ZLP000134,2023-07-05,30.0,Male,Đồng Nai,3,0,1,2000000,Điện & Nước,Referral,Android
ZLP000135,2024-01-01,22.0,Female,Bình Dương,3,1,0,1000000,Điện & Nước,Organic,Android
ZLP000136,2023-12-18,37.0,Female,Cần Thơ,2,1,1,500000,Viễn thông,Organic,iOS
ZLP000137,2024-04-30,23.0,Female,Hồ Chí Minh,1,1,1,2000000,Điện tử,Unknown,iOS
ZLP000138,2024-09-27,26.0,Female,Hà Nội,1,1,1,1000000,Điện tử,Unknown,Android
ZLP000139,2024-05-30,32.0,Male,Hồ Chí Minh,1,0,1,2000000,Thời trang,Social,Android
ZLP000140,2023-10-03,20.0,Female,Bình Dương,3,1,1,2000000,Chăm sóc sức khỏe,Campaign,iOS
ZLP000141,2024-09-27,29.0,Male,Nghệ An,3,1,1,1000000,Viễn thông,Organic,iOS
ZLP000142,2023-12-18,35.0,Female,Hồ Chí Minh,1,1,1,500000,Thời trang,Campaign,Android
ZLP000143,2024-01-01,18.0,Female,Hồ Chí Minh,1,1,1,3000000,Thời trang,Referral,Android
ZLP000144,2023-12-18,29.0,Female,Hà Nội,1,1,0,2000000,Điện tử,Campaign,Android
ZLP000145,2023-12-02,29.0,Male,Hải Phòng,2,1,1,3000000,Thời trang,Social,Android
ZLP000146,2024-08-28,32.0,Male,Đà Nẵng,2,1,0,1000000,Viễn thông,Referral,iOS
ZLP000147,2023-12-02,20.0,Male,Hồ Chí Minh,1,1,1,2000000,Du lịch & Vận chuyển,Referral,Android
ZLP000148,2024-01-31,20.0,Male,Thanh Hóa,3,1,1,1000000,Giải trí,Unknown,Android
ZLP000149,2023-11-02,31.0,Female,Hồ Chí Minh,3,1,1,1000000,Điện tử,Unknown,Android
ZLP000150,2024-06-29,29.0,Male,Hồ Chí Minh,1,1,1,2000000,Thực phẩm & Ăn uống,Referral,Android
ZLP000151,2024-05-30,29.0,Female,An Giang,3,1,1,3000000,Thời trang,Organic,Android
ZLP000152,2023-12-02,30.0,Male,Hà Nội,1,1,1,1000000,Điện & Nước,Unknown,iOS
ZLP000153,2024-03-31,23.0,Male,Hà Nội,1,1,1,3000000,Thực phẩm & Ăn uống,Organic,Android
ZLP000154,2024-04-30,29.0,Female,Hà Nội,1,1,1,2000000,Giải trí,Campaign,iOS
ZLP000155,2024-01-31,29.0,Female,Hải Phòng,2,1,1,1000000,Thời trang,Social,Unknown
ZLP000156,2024-03-01,23.0,Female,Hồ Chí Minh,2,1,1,3000000,Thời trang,Organic,iOS
ZLP000157,2024-01-31,27.0,Female,Hồ Chí Minh,1,1,1,2000000,Giải trí,Referral,Android
ZLP000158,2023-07-05,30.0,Male,Nghệ An,3,1,0,2000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000159,2024-03-31,20.0,Male,Hồ Chí Minh,1,1,1,2000000,Thời trang,Referral,Android
ZLP000160,2024-01-01,31.0,Female,Bình Dương,3,1,1,2000000,Viễn thông,Unknown,Android
ZLP000161,2024-01-01,22.0,Female,Cần Thơ,2,1,1,3000000,Điện & Nước,Social,Android
ZLP000162,2024-07-29,32.0,Female,Hồ Chí Minh,1,1,0,1000000,Chăm sóc sức khỏe,Organic,Android
ZLP000163,2023-01-01,34.0,Male,Hồ Chí Minh,1,1,1,500000,Du lịch & Vận chuyển,Organic,Android
ZLP000164,2023-11-02,23.0,Other,Hải Phòng,2,1,1,3000000,Thực phẩm & Ăn uống,Unknown,Android
ZLP000165,2023-07-05,33.0,Male,Hà Nội,1,1,1,3000000,Điện & Nước,Referral,Android
ZLP000166,2023-04-06,30.0,Female,Cần Thơ,2,1,1,1000000,Thời trang,Organic,Android
ZLP000167,2023-12-02,32.0,Female,Đà Nẵng,2,1,1,1000000,Thực phẩm & Ăn uống,Referral,Android
ZLP000168,2024-11-26,39.0,Male,Bình Dương,3,1,1,2000000,Điện & Nước,Organic,iOS
ZLP000169,2023-11-02,26.0,Female,Hà Nội,1,1,1,500000,Du lịch & Vận chuyển,Organic,Android
ZLP000170,2024-03-31,23.0,Male,Hà Nội,1,0,1,2000000,Viễn thông,Unknown,iOS
ZLP000171,2023-07-05,22.0,Female,Hà Nội,1,1,1,500000,Điện tử,Campaign,Android
ZLP000172,2024-03-01,23.0,Male,Hải Phòng,2,1,1,2000000,Thực phẩm & Ăn uống,Campaign,iOS
ZLP000173,2024-11-26,27.0,Female,Hà Nội,1,1,1,500000,Chăm sóc sức khỏe,Referral,Android
ZLP000174,2023-12-02,30.0,Male,Hồ Chí Minh,1,1,1,2000000,Điện tử,Social,iOS
ZLP000175,2024-07-29,29.0,Female,Nghệ An,3,1,1,2000000,Điện & Nước,Referral,Android
ZLP000176,2024-11-26,32.0,Female,Đồng Nai,3,1,0,2000000,Thực phẩm & Ăn uống,Campaign,iOS
ZLP000177,2024-03-01,28.0,Female,Hồ Chí Minh,1,1,1,1000000,Viễn thông,Referral,Android
ZLP000178,2023-12-02,36.0,Male,Thanh Hóa,3,1,1,1000000,Điện tử,Referral,iOS
ZLP000179,2024-03-31,26.0,Female,Bình Dương,3,1,1,1000000,Thời trang,Social,Android
ZLP000180,2024-07-29,44.0,Male,Hồ Chí Minh,1,1,1,2000000,Thực phẩm & Ăn uống,Campaign,Android
ZLP000181,2023-10-03,31.0,Female,Hồ Chí Minh,1,1,1,2000000,Viễn thông,Organic,Android
ZLP000182,2024-01-01,22.0,Male,Bình Dương,3,1,1,500000,Điện & Nước,Referral,iOS
ZLP000183,2023-12-02,21.0,Female,Đồng Nai,3,1,1,3000000,Viễn thông,Organic,Android
ZLP000184,2023-12-02,30.0,Male,Hồ Chí Minh,1,1,1,3000000,Điện tử,Campaign,Android
ZLP000185,2024-07-29,26.0,Male,Hồ Chí Minh,1,1,1,2000000,Thời trang,Organic,iOS
ZLP000186,2023-12-18,27.0,Male,Hà Nội,1,1,1,1000000,Thực phẩm & Ăn uống,Campaign,Android
ZLP000187,2023-12-02,30.0,Male,Đà Nẵng,2,1,1,3000000,Chăm sóc sức khỏe,Campaign,Android
ZLP000188,2024-03-01,27.0,Male,Hồ Chí Minh,1,1,1,3000000,Thực phẩm & Ăn uống,Social,iOS
ZLP000189,2023-11-02,27.0,Female,Hồ Chí Minh,1,1,1,5000000,Chăm sóc sức khỏe,Referral,Android
ZLP000190,2023-11-02,18.0,Female,Cần Thơ,2,1,1,1000000,Chăm sóc sức khỏe,Organic,iOS
ZLP000191,2024-01-15,25.0,Female,Đồng Nai,3,1,1,5000000,Chăm sóc sức khỏe,Social,Android
ZLP000192,2023-12-18,33.0,Female,Đà Nẵng,2,1,0,500000,Chăm sóc sức khỏe,Campaign,Android
ZLP000193,2023-12-02,29.0,Male,Hà Nội,1,1,1,2000000,Điện tử,Organic,Android
ZLP000194,2023-04-06,20.0,Female,Hà Nội,1,1,1,2000000,Điện tử,Campaign,iOS
ZLP000195,2024-01-15,29.0,Male,Hà Nội,1,1,1,2000000,Chăm sóc sức khỏe,Organic,iOS
ZLP000196,2024-06-29,30.0,Female,Nghệ An,3,1,1,2000000,Điện & Nước,Campaign,Android
ZLP000197,2024-07-29,22.0,Male,Đồng Nai,3,0,1,1000000,Viễn thông,Social,Android
ZLP000198,2023-11-02,28.0,Male,Hồ Chí Minh,1,1,1,3000000,Điện & Nước,Referral,iOS
ZLP000199,2024-03-01,28.0,Male,Hà Nội,1,1,1,2000000,Viễn thông,Campaign,iOS
ZLP000200,2024-07-29,21.0,Female,Đà Nẵng,2,1,0,5000000,Chăm sóc sức khỏe,Organic,Android
ZLP000201,2023-12-18,30.0,Male,Cần Thơ,2,1,1,500000,Giải trí,Organic,Android
ZLP000202,2024-09-27,31.0,Female,Hà Nội,1,0,1,2000000,Điện tử,Unknown,iOS
ZLP000203,2024-08-28,34.0,Male,Đồng Nai,3,0,1,2000000,Du lịch & Vận chuyển,Campaign,iOS
ZLP000204,2023-11-02,34.0,Female,Đồng Nai,3,1,1,2000000,Viễn thông,Unknown,Android
ZLP000205,2023-11-02,19.0,Female,Đà Nẵng,2,1,1,3000000,Chăm sóc sức khỏe,Campaign,Android
ZLP000206,2023-10-03,22.0,Male,Hải Phòng,2,1,1,1000000,Thực phẩm & Ăn uống,Organic,iOS
ZLP000207,2023-11-02,31.0,Female,Bình Dương,3,1,1,1000000,Du lịch & Vận chuyển,Unknown,Android
ZLP000208,2024-08-28,31.0,Female,Đồng Nai,3,0,1,3000000,Chăm sóc sức khỏe,Organic,Android
ZLP000209,2024-09-27,31.0,Female,Nghệ An,3,1,1,2000000,Giải trí,Referral,Android
ZLP000210,2023-04-06,51.0,Female,Hồ Chí Minh,1,1,1,1000000,Chăm sóc sức khỏe,Social,Android
ZLP000211,2024-03-01,31.0,Female,Hồ Chí Minh,1,1,0,2000000,Thực phẩm & Ăn uống,Referral,Android
ZLP000212,2024-01-31,34.0,Female,Hải Phòng,2,1,1,2000000,Điện & Nước,Social,iOS
ZLP000213,2023-12-18,33.0,Male,Đồng Nai,3,1,1,2000000,Du lịch & Vận chuyển,Referral,Android
ZLP000214,2024-03-01,31.0,Female,An Giang,3,1,0,500000,Thời trang,Campaign,Android
ZLP000215,2024-09-27,26.0,Male,Hồ Chí Minh,1,1,1,2000000,Chăm sóc sức khỏe,Unknown,Android
ZLP000216,2023-10-03,32.0,Male,Hồ Chí Minh,2,1,1,2000000,Thực phẩm & Ăn uống,Unknown,Android
ZLP000217,2023-07-05,23.0,Female,Hồ Chí Minh,1,1,1,3000000,Điện & Nước,Campaign,Android
ZLP000218,2023-04-06,26.0,Male,Đà Nẵng,2,0,1,3000000,Điện & Nước,Unknown,iOS
ZLP000219,2023-12-18,25.0,Male,Hồ Chí Minh,1,1,1,2000000,Điện tử,Campaign,Android
ZLP000220,2023-12-02,28.0,Female,Hồ Chí Minh,1,1,1,1000000,Điện & Nước,Organic,iOS
ZLP000221,2024-01-01,41.0,Female,Hồ Chí Minh,1,1,1,1000000,Điện tử,Organic,iOS
ZLP000222,2024-01-15,18.0,Female,Hồ Chí Minh,2,1,1,1000000,Thực phẩm & Ăn uống,Organic,Android
ZLP000223,2024-05-30,32.0,Female,Hà Nội,1,1,1,500000,Thời trang,Social,Android
ZLP000224,2023-12-18,18.0,Female,Hồ Chí Minh,1,0,1,3000000,Chăm sóc sức khỏe,Campaign,Android
ZLP000225,2023-12-02,25.0,Male,Hà Nội,1,1,1,3000000,Viễn thông,Social,Android
ZLP000226,2024-06-29,34.0,Male,Hồ Chí Minh,1,1,1,2000000,Thực phẩm & Ăn uống,Referral,Android
ZLP000227,2024-07-29,28.0,Female,Nghệ An,3,1,1,1000000,Điện tử,Campaign,iOS
ZLP000228,2023-11-02,21.0,Male,Hà Nội,1,1,1,1000000,Du lịch & Vận chuyển,Organic,iOS
ZLP000229,2023-12-02,23.0,Female,Hà Nội,1,0,1,3000000,Viễn thông,Campaign,Android
ZLP000230,2024-06-29,32.0,Female,Hải Phòng,2,1,1,3000000,Thời trang,Unknown,Android
ZLP000231,2023-07-05,23.0,Male,Cần Thơ,2,1,1,1000000,Giải trí,Social,Android
ZLP000232,2023-12-02,29.0,Female,Bình Dương,3,1,1,2000000,Thời trang,Social,Android
ZLP000233,2024-01-01,28.0,Female,Cần Thơ,2,1,1,1000000,Du lịch & Vận chuyển,Social,Android
ZLP000234,2023-10-03,24.0,Male,Nghệ An,3,1,1,1000000,Du lịch & Vận chuyển,Campaign,Android
ZLP000235,2023-10-03,40.0,Other,Hồ Chí Minh,1,0,1,500000,Du lịch & Vận chuyển,Organic,Android
ZLP000236,2023-12-18,31.0,Female,Thanh Hóa,3,1,1,2000000,Điện tử,Organic,Android
ZLP000237,2024-05-30,18.0,Male,Hồ Chí Minh,2,0,1,1000000,Thời trang,Campaign,Android
ZLP000238,2024-07-29,29.0,Female,Đà Nẵng,2,1,1,500000,Điện & Nước,Campaign,iOS
ZLP000239,2024-11-26,24.0,Female,Cần Thơ,2,1,1,1000000,Viễn thông,Social,Android
ZLP000240,2023-07-05,33.0,Female,Cần Thơ,2,1,1,1000000,Viễn thông,Campaign,iOS
ZLP000241,2023-11-02,23.0,Female,Hồ Chí Minh,1,1,1,2000000,Điện & Nước,Organic,iOS
ZLP000242,2024-05-30,27.0,Female,Hồ Chí Minh,1,1,1,1000000,Điện & Nước,Social,Android
ZLP000243,2024-01-31,31.0,Male,Nghệ An,3,1,1,3000000,Viễn thông,Referral,Android
